0|Customer#000000001
1|Customer#000000002
2|IVhzIApeRb ot,c,E
3|XSTf4,NCwDVaWNe6tEgvwfmRchLXak
4|25-989-741-2988
5|23-768-687-3665
6|BUILDING
7|AUTOMOBILE
8|to the even, regular platelets. regular, ironic epitaphs nag e
9|l accounts. blithely ironic theodolites integrate boldly: caref
10|F
11|1994-06-04
12|1993-12-18
13|4-NOT SPECIFIED
14|5-LOW
15|Clerk#000000330
16|Clerk#000000322
17| depths atop the slyly thin deposits detect among the furiously silent accou
18| carefully ironic request
19|O
20|1996-01-02
21|1996-12-01
22|1-URGENT
23|Clerk#000000951
24|Clerk#000000880
25|nstructions sleep furiously among 
26| foxes. pending accounts at the pending, silent asymptot
27|N
28|1996-01-15
29|1996-03-21
30|1996-03-27
31|1996-04-08
32|1996-02-03
33|1996-04-20
34|COLLECT COD
35|NONE
36|MAIL
37|FOB
38| unusual reques
39|. slyly special requests haggl
40|1996-03-13
41|1996-04-12
42|1996-02-12
43|1996-02-28
44|1996-03-22
45|DELIVER IN PERSON
46|TAKE BACK RETURN
47|TRUCK
48|egular courts above the
49|ly final dependencies: slyly bold 
50|Supplier#000000021
51|Supplier#000000022
52|81CavellcrJ0PQ3CPBID0Z0JwyJm0ka5igEs
53|okiiQFk 8lm6EVX6Q0,bEcO
54|12-253-590-5816
55|14-144-830-2814
56|d. instructions integrate sometimes slyly pending instructions. accounts nag among the 
57| ironically among the deposits. closely expre
58|Supplier#000000001
59|Supplier#000000002
60| N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ
61|89eJ5ksX3ImxJQBvxObC,
62|27-918-335-1736
63|15-679-861-2259
64|each slyly above the careful
65| slyly bold instructions. idle dependen
66|JORDAN
67|KENYA
68|ic deposits are blithely about the carefully regular pa
69| pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t
70|ALGERIA
71|ARGENTINA
72| haggle. carefully final deposits detect slyly agai
73|al foxes promise slyly according to the regular accounts. bold requests alon
74|AFRICA
75|AMERICA
76|lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
77|hs use ironic, even requests. s
78|lemon floral azure frosted lime
79|medium forest blue ghost black
80|Manufacturer#3
81|Manufacturer#4
82|Brand#33
83|Brand#43
84|SMALL BURNISHED TIN
85|PROMO POLISHED BRASS
86|MED BAG
87|LG DRUM
88|ss packages. pendin
89| even p
90|goldenrod lavender spring chocolate lace
91|blush thistle blue yellow saddle
92|Manufacturer#1
93|Brand#13
94|PROMO BURNISHED COPPER
95|LARGE BRUSHED BRASS
96|JUMBO PKG
97|LG CASE
98|ly. slyly ironi
99|lar accounts amo
100|usly final packages. slyly ironic accounts poach across the even, sly requests. carefully pending request
101| quick packages. ironic deposits print. furiously silent platelets across the carefully final requests are slyly along the furiously even instructi
102|, even theodolites. regular, final theodolites eat after the carefully pending foxes. furiously regular deposits sleep slyly. carefully bold realms above the ironic dependencies haggle careful
103|ven ideas. quickly even packages print. pending multipliers must have to are fluff
